config_name,config_hash,test_accuracy,shuffled,zero_mean,normalized,quantiles,aggregation,architecture
config_base_shuffled,30e96a43,0.7073,True,False,False,False,none,test_conv2d_n2
config_7409d9bc,7409d9bc,0.7062,False,False,False,False,none,test_conv2d_n2
config_base,0f3b0fea,0.6799,False,False,False,False,none,test_conv2d_n2
config_base_stdandmean,51c54b17,0.6519,False,False,False,False,stdandmean,linear_stats_net
config_zeromean,fdcd1b4f,0.6127,False,True,False,False,mean,linear_stats_net
config_normalized_shuffled,e4ff94e0,0.6074,True,False,True,False,none,test_conv2d_n2
config_zeromean_shuffled,9c003a06,0.6072,True,True,False,False,mean,linear_stats_net
config_normalized,596294b3,0.5995,False,False,True,False,none,test_conv2d_n2
config_base_mean,d79f17c4,0.581,False,False,False,False,mean,linear_stats_net
config_zeromean_normalized,3e2e78db,0.5605,False,True,True,False,mean,linear_stats_net
config_zeromean_normalized_shuffled,f3fbc1ba,0.5401,True,True,True,False,mean,linear_stats_net
config_zeromean_normalized_quantiles,138f7607,0.4569,False,True,True,True,mean,linear_stats_net
config_base_quantiles,c3e46692,0.4538,False,False,False,True,none,test_conv2d_n2
config_normalized_quantiles,99ad6038,0.4423,False,False,True,True,none,test_conv2d_n2
config_zeromean_quantiles,bf39702c,0.4416,False,True,False,True,mean,linear_stats_net
config_zeromean_std,1c5684d3,0.4126,False,True,False,False,std,linear_stats_net
config_zeromean_stdandmean,d15bc838,0.4126,False,True,False,False,stdandmean,linear_stats_net
config_normalized_stdandmean,4f9586ab,0.4116,False,False,True,False,stdandmean,linear_stats_net
config_base_std,00ebd21a,0.4113,False,False,False,False,std,linear_stats_net
config_normalized_mean,b7d44125,0.408,False,False,True,False,mean,linear_stats_net
config_zeromean_normalized_mean,b0f16eb2,0.25,False,True,True,False,mean,linear_stats_net
config_zeromean_mean,b330c88b,0.25,False,True,False,False,mean,linear_stats_net
config_zeromean_normalized_std,cd39e900,0.25,False,True,True,False,std,linear_stats_net
config_zeromean_normalized_stdandmean,d4b873ed,0.25,False,True,True,False,stdandmean,linear_stats_net
config_normalized_std,ddd63c46,0.25,False,False,True,False,std,linear_stats_net
